case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	update_transaction_ms	0.084875		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	affected_rows	400		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	checksum	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	input_hash	077e9fb7a27f8622e35734a3004c9fb92f1d8a7600c3ba1e7143fe0e764633c3		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	output_bytes	0		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	output_rows	0		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	query_compute_ms	0.016292		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	state	clear_edges		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	update_plus_query_ms	9.833874999999999		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	update_transaction_ms	9.817582999999999		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	clear_edges	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	affected_rows	6		
pipeline	400	10	10	sqlite-ivm	1	cycle_seed	receipt	checksum	9c025c2263caf13c8164e03896a464d5e7ea15f87debfd4392abd37b3e62135b		
